vilaity,date,honey_gulf,honey_europe
681,2026-02-19,711,717
682,2026-02-21,714,720
682,2026-02-22,714,720
684,2026-02-23,715,721
687,2026-02-24,719,725
690,2026-02-25,723,729
690,2026-02-26,723,729
690,2026-02-28,725,731
690,2026-03-01,726,732
695,2026-03-02,730,735
695,2026-03-03,730,735
698,2026-03-05,730,735
698,2026-03-06,730,735
698,2026-03-07,729,735
698,2026-03-08,729,735
698,2026-03-09,730,737
700,2026-03-10,733,740
704,2026-03-11,738,743
704,2026-03-12,738,743
704,2026-03-14,736,742
704,2026-03-15,736,742
704,2026-03-16,735,740
704,2026-03-17,737,742
703,2026-03-18,735,740
700,2026-03-19,729,735
695,2026-03-21,724,729
695,2026-03-22,725,730
695,2026-03-23,725,730
695,2026-03-24,725,731
700,2026-03-25,728,734
700,2026-03-26,730,735
704,2026-03-29,733,738
707,2026-03-30,734,739
711,2026-03-31,736,742
716,2026-04-01,741,746
720,2026-04-02,745,750
725,2026-04-04,745,750
728,2026-04-05,746,751
735,2026-04-06,750,755
740,2026-04-07,756,762
745,2026-04-08,770,775
745,2026-04-09,770,775
750,2026-04-11,777,781
750,2026-04-12,777,781
752,2026-04-13,780,784
756,2026-04-14,786,790
763,2026-04-15,794,798
763,2026-04-16,794,798
764,2026-04-18,796,800
765,2026-04-19,796,800
765,2026-04-20,796,800
765,2026-04-21,796,800
765,2026-04-22,796,800
767,2026-04-23,796,802
767,2026-04-24,796,802
767,2026-04-25,797,803
