Book No,Bill No,Date,Customer,MKT,Item Name,Qty,Rate,Amount,Transport,Bags,GST Rate,GST Amount,LR No
51,1,2026-01-05,D.E.,720,Spindle (8.5 Gm),100,830,83000,2000,2,18,15300,"JAM-76126, JAM-76127"
51,2,2026-01-09,Aaleshbhai,695,Taper Plug (10.50),120,822,98640,1500,2.4,0,0,ALS-2201
51,3,2026-01-12,Naveenbhai,700,Spindle (8.5 Gm),80,828,66240,1200,1.6,18,12139,NAV-9911
51,4,2026-01-18,Diwan Enterprise,707,Spindle (8.5 Gm),150,837,125550,2500,3,0,0,"DIV-1001, DIV-1002"
51,5,2026-01-24,Mehta Metals,702,Spindle (8.5 Gm),90,832,74880,1000,1.8,0,0,MHT-4501
51,6,2026-02-02,Shree Brass Works,710,Taper Plug (10.50),140,826,115640,1800,2.8,18,21139,SBW-3301
51,7,2026-02-08,Patel Industries,718,Spindle (8.5 Gm),110,840,92400,2000,2.2,0,0,PTL-8011
51,8,2026-02-14,Royal Turnings,725,Spindle (8.5 Gm),60,842,50520,900,1.2,18,9256,ROY-5510
51,9,2026-02-20,Kiran Traders,730,Taper Plug (10.50),95,835,79325,1200,1.9,0,0,KRN-4100
51,10,2026-03-03,D.E.,716,Spindle (8.5 Gm),100,826,82600,2000,2,18,15228,"JAM-76097, JAM-76098"
51,11,2026-03-11,Aaleshbhai,752,Spindle (8.5 Gm),300,862,258600,2500,6,0,0,ALS-2299
51,12,2026-03-16,Diwan Enterprise,763,Spindle (8.5 Gm),100,873,87300,2000,2,18,16074,"JAM-76577, JAM-76578"
51,13,2026-03-23,Naveenbhai,700,Taper Plug (10.50),200,825,165000,2500,4,0,0,NAV-9955
51,14,2026-03-24,Aaleshbhai,695,Spindle (8.5 Gm),250,805,201250,1800,5,0,0,ALS-2310
51,15,2026-03-25,Naveenbhai,700,Spindle (8.5 Gm),150,815,122250,1600,3,0,0,NAV-9960
51,16,2026-03-30,D.E.,707,Spindle (8.5 Gm),100,817,81700,2000,2,0,0,"JAM-75556, JAM-75557"
51,17,2026-04-01,D.E.,720,Spindle (8.5 Gm),100,830,83000,2000,2,18,15300,"JAM-76126, JAM-76128"
51,18,2026-04-07,Mehta Metals,735,Taper Plug (10.50),130,845,109850,1500,2.6,0,0,MHT-4520
51,19,2026-04-12,Shree Brass Works,742,Spindle (8.5 Gm),120,850,102000,1700,2.4,0,0,SBW-3318
51,20,2026-04-16,Diwan Enterprise,763,Spindle (8.5 Gm),100,873,87300,2000,2,18,16074,"JAM-76577, JAM-76579"
51,21,2026-04-20,D.E.,765,Spindle (8.5 Gm),250,845,211250,2500,5,0,0,DES-4401
51,22,2026-04-22,Patel Industries,748,Spindle (8.5 Gm),95,852,80940,1200,1.9,0,0,PTL-8030
51,23,2026-04-24,D.E.,768,Spindle (8.5 Gm),120,848,101760,2200,2.4,18,18713,"DES-4501, DES-4502"
51,23,2026-04-24,D.E.,768,Taper Plug (10.50),80,834,66720,0,1.6,,,"DES-4501, DES-4502"
51,24,2026-04-25,Aaleshbhai,754,Taper Plug (10.50),160,838,134080,1800,3.2,0,0,ALS-2401
51,24,2026-04-25,Aaleshbhai,754,Spindle (8.5 Gm),90,846,76140,0,1.8,,,ALS-2401
51,25,2026-04-26,Diwan Enterprise,770,Spindle (8.5 Gm),110,876,96360,2500,2.2,18,17345,"DIV-1101, DIV-1102"
51,25,2026-04-26,Diwan Enterprise,770,Taper Plug (10.50),70,842,58940,0,1.4,,,"DIV-1101, DIV-1102"
51,26,2026-04-27,Mehta Metals,740,Spindle (8.5 Gm),75,852,63900,1200,1.5,0,0,MHT-4600
51,26,2026-04-27,Mehta Metals,740,Brass Scrap Return,20,120,2400,0,0.4,,,MHT-4600
